datetime,lower load_gw,upper load_gw
2018-10-14,54.81623671878387,59.52518653107735
2018-10-21,55.22543584448791,60.09258446263254
2018-10-28,55.303528014481735,60.45432720144405
2018-11-04,52.72629767818966,58.258412195113245
2018-11-11,57.59642999810519,63.173105031762766
2018-11-18,58.12994327974025,64.0243001256013
2018-11-25,58.21492728339181,64.10928410294798
2018-12-02,59.62166635797404,65.51602314595095
2018-12-09,60.18625259803147,66.08060928865915
2018-12-16,59.63332717398699,65.52768370006778
2018-12-23,55.31433248035077,61.208688887182134
2018-12-30,46.45440720132514,52.34876304981613
2019-01-06,55.3349396136497,61.19153658671278
2019-01-13,59.57427749925793,65.42472514936182
2019-01-20,60.182471544751486,65.99836899107144
2019-01-27,60.18080212348266,65.9664312125417
2019-02-03,59.60543404007089,65.37408293492317
2019-02-10,59.0621584835894,64.62536541454284
2019-02-17,58.870451715792754,64.43365864053298
2019-02-24,58.29738311100519,63.8605900289441
2019-03-03,58.59831892830377,64.16152585346595
2019-03-10,57.24017832498152,62.80338524949894
2019-03-17,57.17164247267336,62.73484939453537
2019-03-24,55.75183318680423,61.31504010993414
2019-03-31,53.13920256981673,58.702409492955354
2019-04-07,53.331611703984365,58.89481862716285
2019-04-14,52.70908034319744,58.272287266384765
2019-04-21,52.29764603691185,57.86085296013891
2019-04-28,54.12307125335497,59.686278176591124
2019-05-05,50.98766170205012,56.55086862532576
2019-05-12,51.74789810203504,57.31110502532
2019-05-19,52.048261247961506,57.61146817128572
2019-05-26,49.90101599196045,55.46422291529409
2019-06-02,51.34636814404023,56.90957506741303
2019-06-09,53.72113876767872,59.284345691061084
2019-06-16,54.36227833574907,59.92548525917044
2019-06-23,54.61053441752745,60.17374134095847
2019-06-30,55.380793911029905,60.94400083449987
2019-07-07,53.092607924619635,58.655814848099304
2019-07-14,52.12517596289961,57.68838288641815
2019-07-21,51.82130191630369,57.384508839831945
2019-07-28,53.097194861657165,58.66040178522429
2019-08-04,51.638068757368494,57.20127568094531
2019-08-11,51.820524240908206,57.383731164523915
2019-08-18,50.64199841011261,56.20520533373803
2019-08-25,52.582171402548525,58.14537832621281
2019-09-01,54.22196080475838,59.78516772781991
2019-09-08,51.781607981322445,57.34481490575164
2019-09-15,51.97285877437612,57.536065699156666
2019-09-22,52.49107815953659,58.05428508075722
2019-09-29,53.33353175271274,58.89673867735565
2019-10-06,52.471419490693464,58.034626418470694
2019-10-13,55.17793906629299,60.97090613515229
2019-10-20,55.519882556802614,61.324970211055515
2019-10-27,55.71389627850099,61.54311741813695
2019-11-03,53.53668159892884,59.408997838336944
2019-11-10,58.15907041124485,64.03461599024797
2019-11-17,58.86158569846662,64.76826341043181
2019-11-24,58.67887084676963,64.5855485310014
2019-12-01,60.14773412941972,66.05441178014291
2019-12-08,60.950651419160536,66.85732897130488
2019-12-15,60.200058059587974,66.10673545485766
2019-12-22,55.8714623532581,61.7781396270156
2019-12-29,47.180966737163196,53.0876434381908
2020-01-05,56.006486060499235,61.873606491290225
2020-01-12,60.14905693449451,66.009282726975
2020-01-19,60.66874174899567,66.49635848874986
2020-01-26,60.68483724420678,66.48054172488736
2020-02-02,60.02200172022832,65.79945404587012
2020-02-09,59.6569411046227,65.23397151685066
2020-02-16,59.48387160049353,65.06090200343525
2020-02-23,58.86053886620029,64.43756925894868
2020-03-01,59.29080598557606,64.86783638915024
2020-03-08,58.000437244712856,63.57746764731296
2020-03-15,57.81160633748813,63.38863673612089
2020-03-22,56.426247747974216,62.00327814849706
2020-03-29,53.94690179349229,59.52393219403727
2020-04-05,54.2387096590194,59.8157400596155
2020-04-12,53.15420010358568,58.73123050420409
2020-04-19,53.03926769483243,58.616298095501776
2020-04-26,54.399760731573785,59.97679113226581
2020-05-03,51.53093837994302,57.10796878068562
2020-05-10,52.47540509062218,58.05243549138783
2020-05-17,52.56961653323907,58.146646934054914
2020-05-24,50.30410736662875,55.88113776746777
2020-05-31,50.94081640793105,56.51784680882015
2020-06-07,52.22186693512387,57.79889733603636
2020-06-14,53.613430304840044,59.1904607058024
2020-06-21,54.19677116693723,59.77380156792311
2020-06-28,55.20272439171353,60.779754792749145
2020-07-05,54.61144553121982,60.18847593227904
2020-07-12,52.42118422016929,57.99821462127816
2020-07-19,51.84396663071825,57.42099703185074
2020-07-26,51.93681480987803,57.51384521106016
2020-08-02,52.140448955010015,57.71747935621573
2020-08-09,52.94001386506672,58.51704426632212
2020-08-16,53.35584821828021,58.93287861955921
2020-08-23,54.101973990565135,59.67900439189379
2020-08-30,52.39123864836611,57.96826904880122
2020-09-06,52.275065190277736,57.85209559275233
2020-09-13,52.828570886927025,58.40560128993681
2020-09-20,54.09826456131827,59.675294958988594
2020-09-27,54.53105045882883,60.108080861633
2020-10-04,53.0714006364822,58.64843104397138
